2025-12-05 08:00:02.795 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 3 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '016858' ORDER BY nav_date DESC LIMIT 5
2025-12-05 08:00:02.795 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 016858 - 国金量化多因子C
2025-12-05 08:00:02.795 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 007950 - 招商量化精选C
2025-12-05 08:00:02.795 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=007950, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:02.795 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=007950, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:03.077 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=007950, count=22
2025-12-05 08:00:03.090 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 4 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('007950', '招商量化精选C', 2025-11-05, 3.4267, 1.14, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-06, 3.4578, 0.91, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-07, 3.4490, -0.25, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-10, 3.4322, -0.49, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-11, 3.4189, -0.39, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-12, 3.4047, -0.42, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-13, 3.4407, 1.06, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-14, 3.4031, -1.09, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-17, 3.3822, -0.61, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-18, 3.3298, -1.55, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-19, 3.2878, -1.26, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-20, 3.2685, -0.59, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-21, 3.1555, -3.46, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-24, 3.1951, 1.25,...
2025-12-05 08:00:03.090 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=007950, count=43
2025-12-05 08:00:03.090 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 007950 - 招商量化精选C, 更新记录数: 43
2025-12-05 08:00:03.091 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 007950 - 招商量化精选C
2025-12-05 08:00:03.091 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 007950
2025-12-05 08:00:03.094 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 3 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '007950' ORDER BY nav_date DESC LIMIT 5
2025-12-05 08:00:03.094 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 007950 - 招商量化精选C
2025-12-05 08:00:03.094 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 014198 - 华夏智胜先锋股票C
2025-12-05 08:00:03.094 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=014198, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:03.095 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=014198, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:03.305 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=014198, count=22
